Start Time,End Time,Sentence,Corrected Sentence,Translation,Emotion,Intensity
"00:00:00,000","00:00:21,000",Muzyka,Muzyka,Music,neutral,neutral
"00:00:22,000","00:00:26,000","Studio Promenada, dzisiaj z promenady.","Studio Promenada, dzisiaj z promenady.","Studio Promenada, today from the promenade.",neutral,neutral
"00:00:26,000","00:00:34,000","Przy takiej pogodzie na plaży niespecjalnie można zobaczyć turystów, co innego na promenadzie właśnie.","Przy takiej pogodzie na plaży niespecjalnie można zobaczyć turystów, co innego na promenadzie właśnie.","In such weather on the beach you can not see tourists, something else on the promenade.",neutral,neutral
"00:00:34,000","00:00:39,000","Mimo, że koniec wakacji, to turystów wciąż jeszcze w Ustce sporo.","Mimo, że koniec wakacji, to turystów wciąż jeszcze w Ustce sporo.","Although the end of the holidays, they are still a lot of tourists in Ustka.",neutral,neutral
"00:00:39,000","00:00:46,000","Co robić, gdy nie można się opalać i kąpać? O to zapytamy turystów właśnie.","Co robić, gdy nie można się opalać i kąpać? O to zapytamy turystów właśnie.",What to do when you can't sunbathe and bathe? We will ask tourists about this.,curiosity,mild
"00:00:46,000","00:00:49,000","Daniel Klusek, witam w Studiu Promenada. Idziemy.","Daniel Klusek, witam w Studiu Promenada. Idziemy.","Daniel Klusek, welcome to the Promenada studio. We're going.",neutral,neutral
"00:00:49,000","00:00:52,000",Muzyka,Muzyka,Music,neutral,neutral
"00:00:52,000","00:00:55,000","Co można robić, gdy nie można się opalać?","Co można robić, gdy nie można się opalać?",What can you do when you can't sunbathe?,curiosity,mild
"00:00:55,000","00:01:01,000","Jest dużo możliwości, tym bardziej tutaj w Ustce. Po prostu możemy spacerować, zwiedzać ciekawe miejsca.","Jest dużo możliwości, tym bardziej tutaj w Ustce. Po prostu możemy spacerować, zwiedzać ciekawe miejsca.","There are a lot of possibilities, especially here in Ustka. We can just walk, visit interesting places.",optimism,mild
"00:01:01,000","00:01:07,000","Tutaj jest Muzeum Bursztynów, godne do polecenia. Można popłynąć statkiem, także na pewno jest wiele innych sposobów.","Tutaj jest Muzeum Bursztynów, godne do polecenia. Można popłynąć statkiem, także na pewno jest wiele innych sposobów.","Here is the Amber Museum, worth recommending. You can go by ship, there are certainly many other ways.",approval,mild
"00:01:07,000","00:01:08,000",Skąd Pani przyjechała?,Skąd Pani przyjechała?,Where did you come from?,curiosity,mild
"00:01:08,000","00:01:10,000","Z Przemyśla, Podkarpacie.","Z Przemyśla, Podkarpacie.","From Przemyśl, Podkarpacie.",neutral,neutral
"00:01:10,000","00:01:17,000","Słoneczka nie mamy, ale temperaturę mamy ładną. 20 stopni jest, wody, więc można popływać.","Słoneczka nie mamy, ale temperaturę mamy ładną. 20 stopni jest, wody, więc można popływać.","We don't have sunshine, but we have a nice temperature. 20 degrees is water, so you can swim.",optimism,mild
"00:01:17,000","00:01:18,000",I Pan dzisiaj już pływał?,I Pan dzisiaj już pływał?,And you were already swimming today?,curiosity,mild
"00:01:18,000","00:01:23,000",Znaczy będę pływał. W tej chwili jestem na spacerze i będziemy pływać o godzinie 14.,Znaczy będę pływał. W tej chwili jestem na spacerze i będziemy pływać o godzinie 14.,I mean I will swim. At the moment I am on a walk and we will swim at 2pm.,neutral,neutral
"00:01:23,000","00:01:26,000",Czyli brak słońca w ogóle nie przeszkadza w plażowaniu?,Czyli brak słońca w ogóle nie przeszkadza w plażowaniu?,So the lack of sun does not interfere with sunbathing at all?,curiosity,mild
"00:01:26,000","00:01:27,000","Nie, oczywiście.","Nie, oczywiście.","No, of course.",neutral,neutral
"00:01:27,000","00:01:29,000",Na pewno w takiej porze.,Na pewno w takiej porze.,Certainly at this time.,neutral,neutral
"00:01:29,000","00:01:30,000",Skąd Państwo przyjechali?,Skąd Państwo przyjechali?,Where did you come from?,curiosity,mild
"00:01:30,000","00:01:32,000","Z daleka, z Żywca aż.","Z daleka, z Żywca aż.","From a distance, from Żywiec to.",neutral,neutral
"00:01:32,000","00:01:36,000",Muzyka,Muzyka,Music,neutral,neutral
"00:01:36,000","00:01:43,000","Moimi Państwa gościem jest Agata Sobiczewska, dyrektorka lokalnej organizacji turystycznej Ustka i Ziemia Słupska,","Moimi Państwa gościem jest Agata Sobiczewska, dyrektorka lokalnej organizacji turystycznej Ustka i Ziemia Słupska,","My guest is Agata Sobiczewska, director of the Local Tourist Organization Ustka and Ziemia Słupsk,",neutral,neutral
"00:01:43,000","00:01:49,000",która to organizacja prowadzi Centrum Informacji Turystycznej w Ustce właśnie. Dzień dobry.,która to organizacja prowadzi Centrum Informacji Turystycznej w Ustce właśnie. Dzień dobry.,Which organization runs the Tourist Information Center in Ustka. Good morning.,neutral,neutral
"00:01:49,000","00:01:51,000","Dzień dobry, bardzo mi miło.","Dzień dobry, bardzo mi miło.","Good morning, I am very pleased.",gratitude,mild
"00:01:51,000","00:01:56,000","Znajdujemy się w Centrum Informacji Turystycznej. Jeszcze chwilę temu tutaj był tłum ludzi, którzy...","Znajdujemy się w Centrum Informacji Turystycznej. Jeszcze chwilę temu tutaj był tłum ludzi, którzy...",We are in the Tourist Information Center. Just a moment ago there was a crowd of people who ...,neutral,neutral
"00:01:56,000","00:01:59,000","No właśnie, po co się przychodzi do takiego miejsca?","No właśnie, po co się przychodzi do takiego miejsca?","Well, why do you come to such a place?",curiosity,mild
"00:01:59,000","00:02:06,000","No myślę, że przede wszystkim, żeby jakoś ułatwić sobie zorganizowanie tego czasu wolnego, który się w Ustce spędza,","No myślę, że przede wszystkim, żeby jakoś ułatwić sobie zorganizowanie tego czasu wolnego, który się w Ustce spędza,","Well, I think that above all, to somehow make it easier for yourself to organize this free time, which is spent in Ustka,",neutral,neutral
"00:02:06,000","00:02:08,000",bo Ustka to nie tylko plaża.,bo Ustka to nie tylko plaża.,Because Ustka is not just a beach.,neutral,neutral
"00:02:08,000","00:02:09,000",To nie tylko plaża.,To nie tylko plaża.,It's not just a beach.,neutral,neutral
"00:02:09,000","00:02:12,000","Jest tutaj cała masa rzeczy, którą można robić.","Jest tutaj cała masa rzeczy, którą można robić.",There is a lot of things that you can do here.,optimism,mild
"00:02:12,000","00:02:17,000","Przede wszystkim zachęcamy wszystkich Państwa odwiedzających do poznania takiej naszej oferty muzealnej,","Przede wszystkim zachęcamy wszystkich Państwa odwiedzających do poznania takiej naszej oferty muzealnej,","First of all, we encourage all your visitors to know our museum offer,",approval,mild
"00:02:17,000","00:02:21,000",która jest dosyć bogata jak na tak małą miejscowość nadmorską.,która jest dosyć bogata jak na tak małą miejscowość nadmorską.,which is quite rich for such a small seaside town.,pride,mild
"00:02:21,000","00:02:26,000",Mamy tutaj pięć muzeów i bardzo serdecznie zachęcamy zawsze wszystkich do odwiedzenia.,Mamy tutaj pięć muzeów i bardzo serdecznie zachęcamy zawsze wszystkich do odwiedzenia.,We have five museums here and we always cordially encourage everyone to visit.,approval,mild
"00:02:26,000","00:02:33,000","Wszystkich pięciu są to bunkry bluesiera, czyli muzeum militarne, które jest prowadzone przez pana Marcina Barnowskiego,","Wszystkich pięciu są to bunkry bluesiera, czyli muzeum militarne, które jest prowadzone przez pana Marcina Barnowskiego,","All five are blueser bunkers, i.e. a military museum, which is run by Mr. Marcin Barnowski,",neutral,neutral
"00:02:33,000","00:02:35,000",takiego tutaj naszego miejskiego historyka.,takiego tutaj naszego miejskiego historyka.,Such our city historian here.,pride,mild
"00:02:35,000","00:02:36,000",Byliśmy tam.,Byliśmy tam.,We were there.,neutral,neutral
"00:02:36,000","00:02:41,000","No właśnie, kapitan Hazel i to wszystko już jest jasne, wystarczy tylko tyle powiedzieć.","No właśnie, kapitan Hazel i to wszystko już jest jasne, wystarczy tylko tyle powiedzieć.","Well, Captain Hazel and it is all clear, all you have to do is say that much.",neutral,neutral
"00:02:41,000","00:02:45,000","Oczywiście też muzeum bursztynu, muzeum chleba, muzeum ziemi usteckiej.","Oczywiście też muzeum bursztynu, muzeum chleba, muzeum ziemi usteckiej.","Of course, also a museum of amber, a bread museum, a Museum of the Ustka region.",neutral,neutral
"00:02:45,000","00:02:51,000","Tak, żeby dowiedzieć się czegoś więcej o historii Ustki i muzeum mineralne na promenadzie nadmorskiej.","Tak, żeby dowiedzieć się czegoś więcej o historii Ustki i muzeum mineralne na promenadzie nadmorskiej.",So to learn more about the history of Ustka and the Mineral Museum on the seaside promenade.,neutral,neutral
"00:02:51,000","00:02:55,000","To jest takie must see, jeśli chodzi o Ustkę.","To jest takie must see, jeśli chodzi o Ustkę.",This is a must see when it comes to Ustka.,approval,mild
"00:02:55,000","00:03:03,000","A must have, jeśli chodzi o pamiątki, o to, co się w Ustce poza wspomnieniami, co się z Ustki wywozi?","A must have, jeśli chodzi o pamiątki, o to, co się w Ustce poza wspomnieniami, co się z Ustki wywozi?","And a must have, when it comes to souvenirs, what is in Ustka except memories, what is getting out of Ustka?",curiosity,mild
"00:03:03,000","00:03:07,000","My zawsze zachęcamy do zakupu takiej książki, którą sami wydajemy.","My zawsze zachęcamy do zakupu takiej książki, którą sami wydajemy.",We always encourage you to buy a book that we publish ourselves.,approval,mild
"00:03:07,000","00:03:13,000","To są legendy Ustki Ziemi Słupskiej i wydaje mi się, że to jest taki praktyczny prezent.","To są legendy Ustki Ziemi Słupskiej i wydaje mi się, że to jest taki praktyczny prezent.",These are the legends of Ustka Słupsk region and it seems to me that this is such a practical gift.,approval,mild
"00:03:13,000","00:03:16,000","Czy praktyczna pamiątka, którą można zabrać ze sobą.","Czy praktyczna pamiątka, którą można zabrać ze sobą.",Or a practical souvenir that you can take with you.,approval,mild
"00:03:16,000","00:03:22,000",Ona opowiada właśnie o tych legendach tutaj naszego obszaru i tego troszeczkę szerszego obszaru Ziemi Słupskiej.,Ona opowiada właśnie o tych legendach tutaj naszego obszaru i tego troszeczkę szerszego obszaru Ziemi Słupskiej.,She is telling about these legends here our area and a little wider area of ​​the Słupsk region.,curiosity,mild
"00:03:22,000","00:03:31,000","I w swoim zestawie zawiera także takiego audiobooka, którego sobie można odpalić na przykład w radiu samochodowym i słuchać w drodze do domu.","I w swoim zestawie zawiera także takiego audiobooka, którego sobie można odpalić na przykład w radiu samochodowym i słuchać w drodze do domu.","And in its set it also contains such an audiobook, which you can start, for example, on a car radio and listen on the way home.",approval,mild
"00:03:31,000","00:03:34,000","To też tak zawsze polecamy, żeby zabrać ze sobą.","To też tak zawsze polecamy, żeby zabrać ze sobą.",We always recommend it so to take with you.,approval,mild
"00:03:34,000","00:03:41,000","A oprócz tego oczywiście koszulki, torby czy kubeczki, takie mniejsze jakieś drobiazgi typu magnesik i długofis.","A oprócz tego oczywiście koszulki, torby czy kubeczki, takie mniejsze jakieś drobiazgi typu magnesik i długofis.","And, of course, T -shirts, bags or cups, such smaller ones such as magnet and long -term.",neutral,neutral
"00:03:42,000","00:03:44,000",I to też schodzi?,I to też schodzi?,And it also goes down?,curiosity,mild
"00:03:44,000","00:03:48,000","Tak, oczywiście. To nieprzerwanie od kilku lat i myślę, że to jest taka niezawodna pamiątka.","Tak, oczywiście. To nieprzerwanie od kilku lat i myślę, że to jest taka niezawodna pamiątka.",Yes of course. It has been continuously for several years and I think it is such a reliable souvenir.,approval,mild
"00:03:48,000","00:03:52,000",Jeśli się nie wie co to zawsze zachęcamy magnesik na lodówkę.,Jeśli się nie wie co to zawsze zachęcamy magnesik na lodówkę.,If you don't know what we always encourage the magnet for the fridge.,neutral,neutral
"00:03:52,000","00:03:54,000",To dzieci kupują czy dorośli też?,To dzieci kupują czy dorośli też?,Are children buying or adults too?,curiosity,mild
"00:03:54,000","00:04:03,000","Dzieci zazwyczaj wybierają te bardziej kolorowe, dorośli takie troszeczkę bardziej stonowane, ale i dzieci i dorośli są zawsze zainteresowani.","Dzieci zazwyczaj wybierają te bardziej kolorowe, dorośli takie troszeczkę bardziej stonowane, ale i dzieci i dorośli są zawsze zainteresowani.","Children usually choose the more colorful ones, adults a little more subdued, but also children and adults are always interested.",neutral,neutral
"00:04:03,000","00:04:07,000","Czyli ofertę poza plażową, bo Ustka to nie tylko morze.","Czyli ofertę poza plażową, bo Ustka to nie tylko morze.","So an offer outside the beach, because Ustka is not only the sea.",neutral,neutral
"00:04:07,000","00:04:16,000","Ofertę poza plażową tutaj można poznać, ale także poza kulturalną czy historyczną, również te rekreacyjną.","Ofertę poza plażową tutaj można poznać, ale także poza kulturalną czy historyczną, również te rekreacyjną.","The offer outside the beach here can be known, but also outside the cultural or historical, also recreational ones.",neutral,neutral
"00:04:16,000","00:04:18,000","Oczywiście, że tak.","Oczywiście, że tak.",Of course.,neutral,neutral
"00:04:18,000","00:04:22,000",No tutaj u nas w informacji turystycznej można nabyć mapy wszelkiej maści.,No tutaj u nas w informacji turystycznej można nabyć mapy wszelkiej maści.,"Well, here in tourist information you can buy maps of all kinds.",neutral,neutral
"00:04:22,000","00:04:31,000","Zawsze obowiązkowo wydajemy każdemu turyście informator turystyczny, który nie tylko opisuje miasto, ale też gminę Ustka, gminę Smołdzino i powiat słupski.","Zawsze obowiązkowo wydajemy każdemu turyście informator turystyczny, który nie tylko opisuje miasto, ale też gminę Ustka, gminę Smołdzino i powiat słupski.","We always oblige to every tourist tourist guide, who not only describes the city, but also the Ustka commune, the Smołdzino commune and the Słupsk poviat.",neutral,neutral
"00:04:31,000","00:04:37,000","A także rozdajemy plany miasta, tak żeby można było się bezpiecznie i spokojnie poruszać po tym naszym obszarze.","A także rozdajemy plany miasta, tak żeby można było się bezpiecznie i spokojnie poruszać po tym naszym obszarze.",And we also give away the city's plans so that you can move safely and calmly around our area.,caring,mild
"00:04:37,000","00:04:43,000","A oprócz tego zachęcamy właśnie do jakichś spacerów dalszych i bliższych, do wyjazdów rowerowych.","A oprócz tego zachęcamy właśnie do jakichś spacerów dalszych i bliższych, do wyjazdów rowerowych.","In addition, we encourage you to some distant and closer walks, for bicycle trips.",caring,mild
"00:04:43,000","00:04:48,000",I właśnie takie mapy na wyjazdy rowerowe dalsze i właśnie bliższe można tutaj u nas też nabyć.,I właśnie takie mapy na wyjazdy rowerowe dalsze i właśnie bliższe można tutaj u nas też nabyć.,And just such maps for further bicycle trips and closer to us can also be purchased here.,neutral,neutral
"00:04:48,000","00:04:53,000","A kto przychodzi do informacji turystycznej? To są, pytam teraz o nacje, to są Polacy?","A kto przychodzi do informacji turystycznej? To są, pytam teraz o nacje, to są Polacy?","And who comes to tourist information? These are, I ask about nations now, are Poles?",curiosity,mild
"00:04:53,000","00:04:55,000",To są nie tylko Polacy.,To są nie tylko Polacy.,These are not only Poles.,neutral,neutral
"00:04:55,000","00:05:02,000","Jeśli zagraniczni, myśmy w Studio Promenada gościli już Niemców, Czechów i Słowaków.","Jeśli zagraniczni, myśmy w Studio Promenada gościli już Niemców, Czechów i Słowaków.","If foreign, we already hosted the Germans, Czechs and Slovaks in the Promenada studio.",neutral,neutral
"00:05:02,000","00:05:08,000",Czy poza gośćmi z zachodu i południa jeszcze są skądś?,Czy poza gośćmi z zachodu i południa jeszcze są skądś?,Are they still outside the western and south guests?,curiosity,mild
"00:05:08,000","00:05:18,000","Wydaje mi się, że bliskie położenie jednostki w Redzikowie, w której stacjonują Amerykanie, ma duży wpływ na to, że oni tutaj też nas odwiedzają.","Wydaje mi się, że bliskie położenie jednostki w Redzikowie, w której stacjonują Amerykanie, ma duży wpływ na to, że oni tutaj też nas odwiedzają.","It seems to me that the close location of the unit in Redzikowo, where Americans are stationed, has a great impact on the fact that they also visit us here.",realization,mild
"00:05:18,000","00:05:26,000","Przyjeżdżają nad morze, przyjeżdżają dopytać, co tu można w tej okolicy zobaczyć, bo jakoś też próbują sobie ten czas zagospodarować.","Przyjeżdżają nad morze, przyjeżdżają dopytać, co tu można w tej okolicy zobaczyć, bo jakoś też próbują sobie ten czas zagospodarować.","They come to the seaside, come to ask what you can see here in this area, because somehow they also try to develop this time.",curiosity,mild
"00:05:26,000","00:05:34,000","Ale oprócz tego są też Holendrzy, są też Brytyjczycy, więc tak naprawdę ta rozpiętość jest dosyć szeroka, jeśli chodzi o turysty zagraniczne.","Ale oprócz tego są też Holendrzy, są też Brytyjczycy, więc tak naprawdę ta rozpiętość jest dosyć szeroka, jeśli chodzi o turysty zagraniczne.","But in addition, there are also Dutch, there are also British, so in fact this span is quite wide when it comes to foreign tourists.",neutral,neutral
"00:05:34,000","00:05:36,000",Sąsiedzi z północy Bałtyku też?,Sąsiedzi z północy Bałtyku też?,Neighbors from the north of the Baltic Sea too?,curiosity,mild
"00:05:36,000","00:05:47,000","Zdarzają się i są tacy, którzy przyjeżdżają tutaj co roku, na przykład właśnie Norwegzy i za każdym razem przychodzą i się witają z nami i witają nas ponownie w sezonie, więc tak też.","Zdarzają się i są tacy, którzy przyjeżdżają tutaj co roku, na przykład właśnie Norwegzy i za każdym razem przychodzą i się witają z nami i witają nas ponownie w sezonie, więc tak też.","There are and there are those who come here every year, for example Norwegs, and every time they come and greet us and welcome us again in the season, so so too.",gratitude,mild
"00:05:47,000","00:05:50,000",Czy koniec wakacji oznacza koniec sezonu?,Czy koniec wakacji oznacza koniec sezonu?,Does the end of summer holidays mean the end of the season?,curiosity,mild
"00:05:50,000","00:06:00,000","Wydaje mi się, że nie w Ustce. Są miejscowości, które faktycznie z 31 sierpnia stawiają kreskę i już dalej tam się nic nie dzieje, ale Ustka to jest o wiele więcej niż tylko wakacje.","Wydaje mi się, że nie w Ustce. Są miejscowości, które faktycznie z 31 sierpnia stawiają kreskę i już dalej tam się nic nie dzieje, ale Ustka to jest o wiele więcej niż tylko wakacje.","I think not in Ustka. There are places that actually put a line from 31 August and nothing happens there, but Ustka is much more than just holidays.",optimism,mild
"00:06:00,000","00:06:10,000","Jest tutaj co robić jeszcze we wrześniu i w ogóle sezon zimowy też ma swój urok i ściąga tutaj rzesze turystów, którzy właśnie wolą ten wypoczynek w spokoju,","Jest tutaj co robić jeszcze we wrześniu i w ogóle sezon zimowy też ma swój urok i ściąga tutaj rzesze turystów, którzy właśnie wolą ten wypoczynek w spokoju,","There is something to do here in September and in general the winter season also has its charm and pulls here crowds of tourists who prefer this rest in peace,",optimism,mild
